id,name,email,password,role,organisation,site_id,is_active
49,James Armstrong,jamesarmstrong@gmail.com,31mWvAx2*y,Nurse,Ministry of Health,50,True
50,Edward Berry,edwardberry@gmail.com,fUV89XcD$m,Nurse,Ministry of Health,51,False
51,James Weber,jamesweber@gmail.com,*Q1OamF7a8,Doctor,Ministry of Health,52,True
52,Joel Allen,joelallen@gmail.com,+4NnImZ6WI,Data Officer,Ministry of Health,53,False
53,Ronald Marshall,ronaldmarshall@gmail.com,(68#kNSZ$u,Lab Technician,Ministry of Health,54,False
54,Arthur Friedman,arthurfriedman@gmail.com,o^U1(MUjQx,Pharmacist,Ministry of Health,55,False
55,Kevin Price,kevinprice@gmail.com,_0x+3VNgwB,CHV,Ministry of Health,56,False
56,Taylor Cox,taylorcox@gmail.com,Z5#Jlatb+G,CHV,Ministry of Health,57,False
57,Jasmine Browning,jasminebrowning@gmail.com,v&Ap4KJcZk,CHV,Ministry of Health,58,True
58,Faith Henderson,faithhenderson@gmail.com,@E2WgLi$ZY,CHV,Ministry of Health,59,False
59,Emily Miller,emilymiller@gmail.com,xni3QwBNg#,Nurse,Ministry of Health,60,True
60,Jacob Long,jacoblong@gmail.com,wu9YHyad0&,Nurse,Ministry of Health,61,False
61,Jacob Valentine,jacobvalentine@gmail.com,Ku@0(eWqj9,Nurse,Ministry of Health,62,True
62,Whitney Campbell,whitneycampbell@gmail.com,I__3XNfcL!,Doctor,Ministry of Health,63,False
63,Michelle Fitzgerald,michellefitzgerald@gmail.com,%C5tDvrW%1,Data Officer,Private Practice,64,False
64,James Wood,jameswood@gmail.com,7P(q0SRf($,Lab Technician,Ministry of Health,65,True
65,Diane Mcdowell,dianemcdowell@gmail.com,)04QwTukK1,Pharmacist,Ministry of Health,66,False
66,Michael Graham,michaelgraham@gmail.com,zTLOl_D3*0,CHV,Ministry of Health,67,True
67,Valerie Fox,valeriefox@gmail.com,)2NC9c)Fu*,CHV,Private Practice,68,True
68,Michael Castillo,michaelcastillo@gmail.com,_4awTvgwU3,CHV,Ministry of Health,69,True
69,Lindsey Davis,lindseydavis@gmail.com,q&20H9ya(%,CHV,Private Hospital,70,False
70,Brendan Richardson,brendanrichardson@gmail.com,NT7OmXKm$D,Nurse,Private Practice,71,True
71,Kelly Roberts,kellyroberts@gmail.com,A1cA6JZp&P,Nurse,Ministry of Health,72,True
72,Laura King,lauraking@gmail.com,P(a19C&yA%,Nurse,Ministry of Health,73,False
73,Shelby Lopez,shelbylopez@gmail.com,7bK@1XatH#,Doctor,Ministry of Health,74,False
74,Tracey Leonard,traceyleonard@gmail.com,@1@Ee3Za%Y,Data Officer,Ministry of Health,75,True
75,Brittany Henderson,brittanyhenderson@gmail.com,dxMpV2Ex@2,Lab Technician,Ministry of Health,76,False
76,Mrs. Jennifer Palmer DDS,mrs.jenniferpalmerdds@gmail.com,_@7S7ZHwYZ,Pharmacist,Ministry of Health,77,True
77,Corey Cooper,coreycooper@gmail.com,tD8oaH9sx$,CHV,Ministry of Health,78,False
78,Michael Miller,michaelmiller@gmail.com,2gFvO5Tz*7,CHV,Ministry of Health,79,True
79,Brian Perez,brianperez@gmail.com,(3iiTspiWP,CHV,Ministry of Health,80,True
80,Shannon Garcia,shannongarcia@gmail.com,0(0QfdiOq+,CHV,Ministry of Health,81,False
81,Jason Mack,jasonmack@gmail.com,P&FhE7Kj$4,Nurse,Ministry of Health,82,False
82,Jessica Carrillo,jessicacarrillo@gmail.com,DHjK8Cc++y,Nurse,Faith-Based Organization,83,True
83,Aimee Ramirez,aimeeramirez@gmail.com,(9rYEKDmwj,Nurse,Faith-Based Organization,84,False
84,Neil Singh,neilsingh@gmail.com,38BDR@jR#n,Doctor,Ministry of Health,85,False
85,Sarah Green,sarahgreen@gmail.com,hvLD!b5h(5,Data Officer,Ministry of Health,86,True
86,Michael Briggs,michaelbriggs@gmail.com,)62VmEWmn&,Lab Technician,Ministry of Health,87,False
87,Blake Rhodes,blakerhodes@gmail.com,j9RZzcwq&0,Pharmacist,Ministry of Health,88,True
88,Joy Johnson,joyjohnson@gmail.com,#ILU#+dzA8,CHV,Ministry of Health,89,True
89,Elizabeth Campbell,elizabethcampbell@gmail.com,S%7NAACd#n,CHV,Ministry of Health,90,False
90,Mario Hanson,mariohanson@gmail.com,S3rMZqeU&k,CHV,Ministry of Health,91,True
91,Nina Bernard,ninabernard@gmail.com,P3aRxY3n(p,CHV,Ministry of Health,1,True
92,Andrew Atkins,andrewatkins@gmail.com,!p57N*f_6&,Nurse,Ministry of Health,2,True
93,Erika Johnson,erikajohnson@gmail.com,B4BFM(dh!O,Nurse,Ministry of Health,3,False
94,John Russell,johnrussell@gmail.com,50Nub6Tk*I,Nurse,Ministry of Health,4,False
95,William Casey,williamcasey@gmail.com,$mx6aRou8(,Doctor,Ministry of Health,5,False
96,Diana Martin,dianamartin@gmail.com,&dn(9C3jlr,Data Officer,Ministry of Health,6,True
97,Erica Clark,ericaclark@gmail.com,A5X!!0Tw)H,Lab Technician,Ministry of Health,7,True
98,Heather Hess,heatherhess@gmail.com,o)y5FM!gif,Pharmacist,Ministry of Health,8,False
99,Rhonda Walker,rhondawalker@gmail.com,Oi5ByZ(8P*,CHV,Ministry of Health,9,True
100,Nichole Anderson,nicholeanderson@gmail.com,)2cz3QxTLv,CHV,Ministry of Health,10,True
101,Joseph Simpson,josephsimpson@gmail.com,$(0XGChlz4,CHV,Ministry of Health,11,True
102,Arthur Garrett,arthurgarrett@gmail.com,@!v76NwzmN,CHV,Ministry of Health,12,False
103,Lori Riley,loririley@gmail.com,0o%)BKmY@c,Nurse,Ministry of Health,13,False
104,Luis Jenkins,luisjenkins@gmail.com,)9rADvjLCo,Nurse,Ministry of Health,14,True
105,Beth Hicks,bethhicks@gmail.com,X16$PVPx^V,Nurse,Ministry of Health,15,True
106,Donna Cordova,donnacordova@gmail.com,_5m9%Vyv2(,Doctor,Faith-Based Organization,16,True
107,Kylie Rogers,kylierogers@gmail.com,*q%6uKfM3N,Data Officer,Ministry of Health,17,False
108,Adriana Smith,adrianasmith@gmail.com,_K0REd29^7,Lab Technician,Ministry of Health,18,False
109,Alex Cameron,alexcameron@gmail.com,Ge0vA5Vav@,Pharmacist,Ministry of Health,19,False
110,Bianca Lopez,biancalopez@gmail.com,BJWulVp9(6,CHV,Ministry of Health,20,False
111,Christine Miller,christinemiller@gmail.com,PhZP9MCfd*,CHV,Ministry of Health,21,False
112,Rachel Santos,rachelsantos@gmail.com,pHA3UGFo$&,CHV,Ministry of Health,22,False
113,Julie Oliver,julieoliver@gmail.com,I7BOn5ZE&o,CHV,Ministry of Health,23,False
114,Benjamin Johnson,benjaminjohnson@gmail.com,$Amc5Gvzhg,Nurse,Ministry of Health,24,True
115,Samantha Todd,samanthatodd@gmail.com,z!q7fU5qSM,Nurse,Ministry of Health,25,True
116,Tom Butler,tombutler@gmail.com,FU)v7RaD*c,Nurse,Ministry of Health,26,True
117,Latoya Johnson,latoyajohnson@gmail.com,YKWq23Gs1#,Doctor,Ministry of Health,27,True
118,Michael Thompson,michaelthompson@gmail.com,19P95aa%+0,Data Officer,Ministry of Health,28,True
119,Patrick Price,patrickprice@gmail.com,J$2WvVGj8!,Lab Technician,Ministry of Health,29,True
120,Danielle Murphy,daniellemurphy@gmail.com,Ug7OLdoAX),Pharmacist,Ministry of Health,30,False
121,Judith Bartlett,judithbartlett@gmail.com,d9r+rRDm#s,CHV,Ministry of Health,31,True
122,Angela Garcia PhD,angelagarciaphd@gmail.com,^6O^fhGhpH,CHV,Ministry of Health,32,False
123,Paul Washington,paulwashington@gmail.com,@1Rmo0v*9R,CHV,Ministry of Health,33,True
124,Brittany Howard,brittanyhoward@gmail.com,$dn0ZVrGA$,CHV,Ministry of Health,34,True
125,Christina Smith,christinasmith@gmail.com,c%wKngf$!0,Nurse,Ministry of Health,35,True
126,Joshua Mcmillan,joshuamcmillan@gmail.com,E@H3GLdmaF,Nurse,Ministry of Health,36,True
127,Kathryn Mooney,kathrynmooney@gmail.com,+8WydZxsCZ,Nurse,Ministry of Health,37,True
128,Lauren Reyes,laurenreyes@gmail.com,e!_3Q5Js^_,Doctor,Ministry of Health,38,True
129,Martin Young,martinyoung@gmail.com,9)BO#xIm+4,Data Officer,Ministry of Health,39,True
130,Mary Wright,marywright@gmail.com,Q1TmOw$z_3,Lab Technician,Ministry of Health,40,False
131,Blake Hardy,blakehardy@gmail.com,6129LZXg%x,Pharmacist,Ministry of Health,41,True
132,Jessica Moore,jessicamoore@gmail.com,JYtARS1m*0,CHV,Ministry of Health,42,True
133,Miguel Gonzalez,miguelgonzalez@gmail.com,$0HIHgAAzq,CHV,Ministry of Health,43,True
134,Phillip Krueger,phillipkrueger@gmail.com,+cQawg5#m5,CHV,Ministry of Health,44,True
135,Michael King,michaelking@gmail.com,!jZtVVfQ)9,CHV,Private Practice,45,False
136,Jason Walter,jasonwalter@gmail.com,U1m7Dhu!+O,Nurse,Private Practice,46,False
137,Carolyn Brooks,carolynbrooks@gmail.com,12Lm1%Gp7+,Nurse,Private Practice,47,False
138,Carol Carter,carolcarter@gmail.com,c1NI*%h!&z,Nurse,Ministry of Health,48,False
139,Joseph Hayden,josephhayden@gmail.com,%7FrzPvyG%,Doctor,Ministry of Health,49,False
140,Jennifer Houston,jenniferhouston@gmail.com,#8d0FTadI1,Data Officer,Ministry of Health,50,True
141,Jennifer Salazar,jennifersalazar@gmail.com,5pNg92_p@p,Lab Technician,Ministry of Health,51,False
142,Elizabeth Nunez,elizabethnunez@gmail.com,wNS(7Fo*z#,Pharmacist,Ministry of Health,52,False
143,Mary Lynn,marylynn@gmail.com,uYO1V4eu_D,CHV,Ministry of Health,53,True
144,Brandon Davis,brandondavis@gmail.com,vU9BGGxV+G,CHV,Ministry of Health,54,False
145,Leslie Rodriguez,leslierodriguez@gmail.com,_vnOOk_b!8,CHV,Ministry of Health,55,False
146,Becky Shea DDS,beckysheadds@gmail.com,eF*C33Pjd$,CHV,Ministry of Health,56,True
147,Miss Sarah Ritter,misssarahritter@gmail.com,(zKGRnd2p6,Nurse,Ministry of Health,57,True
148,Michelle Ellis,michelleellis@gmail.com,#9E4hgofUc,Nurse,Ministry of Health,58,True
149,John Landry,johnlandry@gmail.com,V@YH85Ukwa,Nurse,Ministry of Health,59,False
150,Jill Smith,jillsmith@gmail.com,Zt1VDNp&V@,Doctor,Ministry of Health,60,False
151,Arthur Stout,arthurstout@gmail.com,@(2MOQVekw,Data Officer,Ministry of Health,61,True
152,Abigail West,abigailwest@gmail.com,^a&Be&)A10,Lab Technician,Ministry of Health,62,False
153,Elaine Ferguson,elaineferguson@gmail.com,BtPwPcb$#9,Pharmacist,Ministry of Health,63,True
154,Ian Anderson,iananderson@gmail.com,6Gs6CrJdR),CHV,Private Practice,64,True
155,Samantha Jacobs,samanthajacobs@gmail.com,K@&2KzS%ZE,CHV,Ministry of Health,65,False
156,Brent Petty,brentpetty@gmail.com,$zDAmORdq6,CHV,Ministry of Health,66,False
157,Paul White,paulwhite@gmail.com,rHV8cRt_T+,CHV,Ministry of Health,67,True
158,Catherine Andersen,catherineandersen@gmail.com,w*8J4Z&Aji,Nurse,Private Practice,68,False
159,Patrick Spencer,patrickspencer@gmail.com,*gNQzNvI0t,Nurse,Ministry of Health,69,False
160,Patrick Tapia,patricktapia@gmail.com,L0(is9BtE$,Nurse,Private Hospital,70,False
161,Gail Shelton,gailshelton@gmail.com,(7!YHJujQ1,Doctor,Private Practice,71,True
162,Joe Evans,joeevans@gmail.com,1E*@0QLxO+,Data Officer,Ministry of Health,72,False
163,Jacob Mcclain,jacobmcclain@gmail.com,(K4h!Do(9),Lab Technician,Ministry of Health,73,False
164,Tiffany Moyer,tiffanymoyer@gmail.com,%1NCipPuoG,Pharmacist,Ministry of Health,74,False
165,Pamela Young,pamelayoung@gmail.com,gK9_56Nt6i,CHV,Ministry of Health,75,True
166,Rhonda Haynes,rhondahaynes@gmail.com,(9Y4)#FugX,CHV,Ministry of Health,76,False
167,Mark Hall,markhall@gmail.com,^ZA6PbIB$$,CHV,Ministry of Health,77,False
168,Terry Garcia,terrygarcia@gmail.com,C(b4PlElg#,CHV,Ministry of Health,78,True
169,James Eaton,jameseaton@gmail.com,9tDbeu^S#f,Nurse,Ministry of Health,79,True
170,Jason Dawson,jasondawson@gmail.com,((KLowk085,Nurse,Ministry of Health,80,False
171,Jennifer Cohen,jennifercohen@gmail.com,hGj1F1+o(r,Nurse,Ministry of Health,81,False
172,Derrick Wilson,derrickwilson@gmail.com,$0v8)R$yzh,Doctor,Ministry of Health,82,False
173,Erika Potts,erikapotts@gmail.com,IXC%mmex(4,Data Officer,Faith-Based Organization,83,False
174,Dawn Sims,dawnsims@gmail.com,4)8Gh+5oFs,Lab Technician,Faith-Based Organization,84,True
175,Terri White,terriwhite@gmail.com,%fJ1_JLZH0,Pharmacist,Ministry of Health,85,True
176,Alex Serrano,alexserrano@gmail.com,i_0Ek!khmp,CHV,Ministry of Health,86,True
177,Stephanie Ochoa,stephanieochoa@gmail.com,%S5P@$e*rI,CHV,Ministry of Health,87,True
178,Dustin Dorsey,dustindorsey@gmail.com,_6V(*wEX(w,CHV,Ministry of Health,88,True
179,Joseph Greene,josephgreene@gmail.com,_Y6q8Ev7tl,CHV,Ministry of Health,89,False
180,Robert Bray,robertbray@gmail.com,x8@11SnJdI,Nurse,Ministry of Health,90,True
181,Jonathan Ferguson,jonathanferguson@gmail.com,&e8jmH&m(o,Nurse,Ministry of Health,91,False
182,Amy Bailey,amybailey@gmail.com,#4uJ3Oe(d_,Nurse,Ministry of Health,1,True
183,Angela Monroe,angelamonroe@gmail.com,#6!nI0ElRw,Doctor,Ministry of Health,2,False
184,Christopher Ibarra,christopheribarra@gmail.com,P!9cYTfuPe,Data Officer,Ministry of Health,3,True
185,Vanessa Martinez,vanessamartinez@gmail.com,$16ToTbBZn,Lab Technician,Ministry of Health,4,False
186,Brian Miller,brianmiller@gmail.com,)S%WhASh#5,Pharmacist,Ministry of Health,5,False
187,Eric Hooper,erichooper@gmail.com,%GE)bCQgP6,CHV,Ministry of Health,6,False
188,Sarah Roberts,sarahroberts@gmail.com,&f7laC+u#f,CHV,Ministry of Health,7,True
189,Isaac Chase,isaacchase@gmail.com,c0zWWTzy&i,CHV,Ministry of Health,8,True
190,Erik Villa,erikvilla@gmail.com,#11j7N6saI,CHV,Ministry of Health,9,True
191,Dustin Ortiz,dustinortiz@gmail.com,)YOlILqz2y,Nurse,Ministry of Health,10,False
192,Donna Moore,donnamoore@gmail.com,q&D1RHm1(x,Nurse,Ministry of Health,11,False
193,Zachary Tucker,zacharytucker@gmail.com,+Sw73UDi%l,Nurse,Ministry of Health,12,True
194,Alexander Blake,alexanderblake@gmail.com,&48&qIu3s1,Doctor,Ministry of Health,13,False
195,Elizabeth Gonzalez,elizabethgonzalez@gmail.com,&+PEdr!jW7,Data Officer,Ministry of Health,14,False
196,Jimmy Hernandez,jimmyhernandez@gmail.com,IQ1Zn)vx^4,Lab Technician,Ministry of Health,15,False
197,Cindy Clark,cindyclark@gmail.com,m9sPqAlL$E,Pharmacist,Faith-Based Organization,16,False
198,Judy Brooks,judybrooks@gmail.com,(9acYdrt*F,CHV,Ministry of Health,17,True
199,Paul Hanson,paulhanson@gmail.com,(lbp31Uopw,CHV,Ministry of Health,18,False
200,Rachael Romero,rachaelromero@gmail.com,tb4t#JzoQ%,CHV,Ministry of Health,19,True
201,William Lee,williamlee@gmail.com,u6BGfHB+_z,CHV,Ministry of Health,20,True
202,Sarah Burton,sarahburton@gmail.com,3&%8VFek^G,Nurse,Ministry of Health,21,False
203,Courtney Lee,courtneylee@gmail.com,a$6YYU*iW*,Nurse,Ministry of Health,22,True
204,Susan Clark,susanclark@gmail.com,@aZ3JrYL+7,Nurse,Ministry of Health,23,True
205,Wendy Webb,wendywebb@gmail.com,)g9R#aP+q(,Doctor,Ministry of Health,24,True
206,Nicholas Case,nicholascase@gmail.com,w%S94OPH2g,Data Officer,Ministry of Health,25,False
207,Laurie Martin,lauriemartin@gmail.com,$hNYoJTF7%,Lab Technician,Ministry of Health,26,True
208,Elaine Serrano,elaineserrano@gmail.com,_1B8ELamj),Pharmacist,Ministry of Health,27,True
209,Erica Hall,ericahall@gmail.com,@4T6wJtUZc,CHV,Ministry of Health,28,False
210,Kathleen Mooney,kathleenmooney@gmail.com,&CGU9Doz19,CHV,Ministry of Health,29,False
211,Andrea Davis,andreadavis@gmail.com,&4TBXIdLok,CHV,Ministry of Health,30,True
212,Roger Taylor,rogertaylor@gmail.com,^6mmHfc$r$,CHV,Ministry of Health,31,True
213,Rebecca Gray,rebeccagray@gmail.com,M)ph2EIs)+,Nurse,Ministry of Health,32,False
214,Karen Davis,karendavis@gmail.com,n%Z1d^LrbM,Nurse,Ministry of Health,33,True
215,Robert Gill,robertgill@gmail.com,e(o5YtjLX3,Nurse,Ministry of Health,34,True
216,Michael Lynn,michaellynn@gmail.com,q)511EoL7u,Doctor,Ministry of Health,35,False
217,Jonathan Romero,jonathanromero@gmail.com,!7gI9HVROl,Data Officer,Ministry of Health,36,False
218,Austin Garcia,austingarcia@gmail.com,$9WmwO03Ze,Lab Technician,Ministry of Health,37,False
219,Melody Woods,melodywoods@gmail.com,%0FLxkJ@y3,Pharmacist,Ministry of Health,38,False
220,Lauren Freeman,laurenfreeman@gmail.com,mTzn7D_b$g,CHV,Ministry of Health,39,False
221,Dawn Ellis,dawnellis@gmail.com,rj^4WWck@y,CHV,Ministry of Health,40,False
222,Kenneth Dominguez,kennethdominguez@gmail.com,&u&*5Gxtzq,CHV,Ministry of Health,41,False
223,Theresa Hill,theresahill@gmail.com,dn0kSkDq$u,CHV,Ministry of Health,42,True
224,Mary Torres,marytorres@gmail.com,@$1VZjJa%6,Nurse,Ministry of Health,43,True
225,Michelle Thomas,michellethomas@gmail.com,t93vNcsHs+,Nurse,Ministry of Health,44,False
226,Erica Lane,ericalane@gmail.com,I2AAu3Ie_*,Nurse,Private Practice,45,True
227,Tyrone Murray,tyronemurray@gmail.com,(_0kUFYnq$,Doctor,Private Practice,46,True
228,Shelly Stevens,shellystevens@gmail.com,!aBi9NC%1b,Data Officer,Private Practice,47,False
229,Tracy Taylor,tracytaylor@gmail.com,_2!Jc(!u(*,Lab Technician,Ministry of Health,48,False
230,Jill Brown,jillbrown@gmail.com,ym4Mmcpp@Z,Pharmacist,Ministry of Health,49,False
231,Mr. Brett Chapman,mr.brettchapman@gmail.com,^*IJ#MTmA4,CHV,Ministry of Health,50,True
232,Julie Sharp,juliesharp@gmail.com,Pp%s0PFlaT,CHV,Ministry of Health,51,True
233,Ryan Webb,ryanwebb@gmail.com,*9Vf)BwDXH,CHV,Ministry of Health,52,False
234,Kathryn Shelton,kathrynshelton@gmail.com,^3*rfYyz%6,CHV,Ministry of Health,53,True
235,Sara Mclean,saramclean@gmail.com,^1UW6K92+o,Nurse,Ministry of Health,54,False
236,Mary Harris,maryharris@gmail.com,IS^1gLZy#0,Nurse,Ministry of Health,55,False
237,Sarah Solis,sarahsolis@gmail.com,q*)Q6UmR@m,Nurse,Ministry of Health,56,False
238,Brooke Roberts,brookeroberts@gmail.com,uPH(9Hqt7#,Doctor,Ministry of Health,57,False
239,Phillip Taylor,philliptaylor@gmail.com,tvOlTXYl(5,Data Officer,Ministry of Health,58,True
240,Carl Cummings,carlcummings@gmail.com,@DNjq4P@q0,Lab Technician,Ministry of Health,59,True
241,Mr. James Martinez,mr.jamesmartinez@gmail.com,e(XsEDR5+6,Pharmacist,Ministry of Health,60,False
242,Alexis Cortez PhD,alexiscortezphd@gmail.com,1$D0E9Wo@^,CHV,Ministry of Health,61,True
243,Robin Hurst,robinhurst@gmail.com,vW9a77dj$$,CHV,Ministry of Health,62,True
244,Chad Daugherty,chaddaugherty@gmail.com,$Fm_XdrL(4,CHV,Ministry of Health,63,True
245,Vincent Brown,vincentbrown@gmail.com,)G$3Pa$AS6,CHV,Private Practice,64,False
246,Leslie Todd,leslietodd@gmail.com,juhlNwn9^9,Nurse,Ministry of Health,65,False
247,James Reese,jamesreese@gmail.com,$i&6ACHXE2,Nurse,Ministry of Health,66,False
248,Erica Baker,ericabaker@gmail.com,K#7NoO%a8X,Nurse,Ministry of Health,67,True
249,Richard Green,richardgreen@gmail.com,*qa2HuPKBS,Doctor,Private Practice,68,True
250,Amanda Young,amandayoung@gmail.com,(^3Un1Qo8@,Data Officer,Ministry of Health,69,True
251,Elizabeth Johnson,elizabethjohnson@gmail.com,^@JlPjeVD0,Lab Technician,Private Hospital,70,False
252,Marie Friedman,mariefriedman@gmail.com,YgR9QsWaQ$,Pharmacist,Private Practice,71,True
253,Randall Cox,randallcox@gmail.com,dK5X^TdEN*,CHV,Ministry of Health,72,True
254,Danielle Blankenship,danielleblankenship@gmail.com,_9V(IP_er2,CHV,Ministry of Health,73,True
255,Ralph Dawson,ralphdawson@gmail.com,n*01EbGJ)d,CHV,Ministry of Health,74,True
256,Stephanie Vargas,stephanievargas@gmail.com,^bXtYgKi)1,CHV,Ministry of Health,75,True
257,Linda Wood,lindawood@gmail.com,KP_v7MkTsU,Nurse,Ministry of Health,76,False
258,Amanda Landry,amandalandry@gmail.com,8qB3N9O40+,Nurse,Ministry of Health,77,False
259,Brenda Clark,brendaclark@gmail.com,sx2lAn@t(U,Nurse,Ministry of Health,78,True
260,Michelle Calhoun,michellecalhoun@gmail.com,7pzg7N^p@C,Doctor,Ministry of Health,79,False
261,Kayla Waters,kaylawaters@gmail.com,*eQ5BnnwY+,Data Officer,Ministry of Health,80,False
262,John Lopez,johnlopez@gmail.com,Y&Q4EKgXe*,Lab Technician,Ministry of Health,81,True
263,Kari Sandoval,karisandoval@gmail.com,bOY#S4Hjsi,Pharmacist,Ministry of Health,82,False
264,Audrey Marshall,audreymarshall@gmail.com,^)ropLw#13,CHV,Faith-Based Organization,83,False
265,Evan Myers,evanmyers@gmail.com,t*6DmMIU0i,CHV,Faith-Based Organization,84,True
266,Alicia Bowen,aliciabowen@gmail.com,CE&1YwRyoH,CHV,Ministry of Health,85,False
267,Daniel Quinn,danielquinn@gmail.com,v!0NAAyj68,CHV,Ministry of Health,86,False
268,Angela Wagner,angelawagner@gmail.com,+Su6AGnakJ,Nurse,Ministry of Health,87,True
269,Wayne Johnston,waynejohnston@gmail.com,448NePGc&w,Nurse,Ministry of Health,88,True
270,Allison Wise,allisonwise@gmail.com,(A_Y&TPs*5,Nurse,Ministry of Health,89,False
271,Lacey Hall,laceyhall@gmail.com,gn#4WN7j*O,Doctor,Ministry of Health,90,False
272,Nancy Quinn,nancyquinn@gmail.com,Fi6h0KWc@0,Data Officer,Ministry of Health,91,False
273,Edward Graham,edwardgraham@gmail.com,XF%4QQXkQ6,Lab Technician,Ministry of Health,1,True
